
04/04/2022 11:58:28: ExecuteNonQuery: la proprietà Connection non è stata inizializzata.
04/04/2022 11:58:28: ESEGUITO, NESSUN MESSAGGIO
29/06/2023 13:21:29: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_NLTQU.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_NLTQU.xml.pdf'><b>Apri</b></a> 
29/06/2023 13:21:51: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_04Anv.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_04Anv.xml.pdf'><b>Apri</b></a> 
29/06/2023 13:22:19: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2D5TJ.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2D5TJ.xml.pdf'><b>Apri</b></a> 
03/07/2023 11:00:44: ESEGUITO, NESSUN MESSAGGIO
03/07/2023 11:00:57: ESEGUITO, NESSUN MESSAGGIO
03/07/2023 14:39:23: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_NNDM9.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_NNDM9.xml.pdf'><b>Apri</b></a> 
03/07/2023 14:39:58: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02355260981_Lu0X3.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02355260981_Lu0X3.xml.pdf'><b>Apri</b></a> 
03/07/2023 14:40:15: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_ClO5L.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_ClO5L.xml.pdf'><b>Apri</b></a> 
03/07/2023 14:40:32: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423181_DVAUB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423181_DVAUB.xml.pdf'><b>Apri</b></a> 
03/07/2023 14:40:45: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423181_CR5CP.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423181_CR5CP.xml.pdf'><b>Apri</b></a> 
